	log2fc	p-adj
HMDB0000508	0.857462879	7.65E-09
HMDB0000214	-0.84810783	3.22E-08
HMDB0000290	1.176163198	1.94E-07
HMDB0000122	-1.093726866	5.81E-07
HMDB0000148	0.47031405	1.48E-06
HMDB0000574	0.676315159	2.28E-06
HMDB0000076	1.09017364	3.77E-06
HMDB0001893	1.136906245	4.82E-06
HMDB0000292	1.347217801	1.87E-05
HMDB0000904	-0.571123868	2.75E-05
HMDB0001257	-0.55962869	3.12E-05
HMDB0000568	0.497203995	4.33E-05
HMDB0002917	0.519232882	4.77E-05
HMDB0000177	-0.630702184	9.26E-05
HMDB0001406	0.477855672	0.000102797
HMDB0000660	-0.421681013	0.000117947
HMDB0000139	0.500730719	0.000144083
HMDB0000182	-1.374980178	0.000172834
HMDB0001129	0.468630833	0.000183534
HMDB0000175	1.785125709	0.000214923
NA	1.310849716	0.000228557
HMDB0011626	-0.354274066	0.000271477
HMDB0000482	-0.360573208	0.00033643
HMDB0000094	-0.636298204	0.000501045
HMDB0000034	0.541532966	0.000600989
HMDB0000162	0.439027613	0.000637014
NA	1.083475984	0.000752443
HMDB0001209	-0.664780978	0.000878199
HMDB0000161	0.294946874	0.00095755
HMDB0000807	-1.085793749	0.001044686
HMDB0000725	0.305911257	0.001126476
HMDB0000131	0.305653692	0.001225158
HMDB0001147	0.329336564	0.001366352
METPA0837	-0.697971463	0.001443451
NA	-0.556876905	0.001613925
HMDB0001173	0.840279807	0.001734452
HMDB0000269	-0.597481192	0.002385164
HMDB0000300	0.540644717	0.002572302
HMDB0000613	0.314420281	0.002795622
HMDB0000095	0.769034459	0.003001838
HMDB0000646	0.254745248	0.003086555
HMDB0059655	0.679551668	0.003363723
HMDB0000289	0.49603624	0.003458475
HMDB0000625	-0.991490549	0.003750501
HMDB0000251	0.388917561	0.003907708
HMDB0000168	0.231201015	0.004191927
HMDB0000172	0.243870183	0.004716428
HMDB0001043	0.590467272	0.005027144
HMDB0000224	0.529420778	0.00516007
HMDB0000847	-0.272110615	0.005920376
HMDB0000744	0.390367866	0.007328161
HMDB0000826	-0.276059154	0.007486567
HMDB0000267	0.212251017	0.007684847
HMDB0000296	-0.522203945	0.008806056
HMDB0012327	0.534858519	0.01128446
HMDB0000511	-0.237370118	0.011714321
NA	0.243143072	0.013247487
HMDB0000710	0.37402911	0.013627837
HMDB0032538	-0.416771708	0.016322219
HMDB0000765	-0.453376646	0.018689217
HMDB0000123	0.152524171	0.019439377
NA	0.305557671	0.02014056
HMDB0003338	-0.315355034	0.022343576
HMDB0001248	0.242577147	0.023686914
HMDB0002005	-0.841770145	0.024643156
HMDB0033910	-0.418884658	0.025601646
NA	-0.27239264	0.026710246
HMDB0031075	-0.226174471	0.028190959
NA	-0.419143754	0.029044532
HMDB0000827	-0.277838822	0.032109113
HMDB0000562	0.457780741	0.033670609
HMDB0000070	0.160682406	0.035275268
HMDB0000167	0.132890555	0.037324103
NA	0.601411342	0.03931121
HMDB0002712	-0.338344248	0.040022875
NA	1.089042751	0.04131462
HMDB0001870	-0.177797267	0.042837564
HMDB0000128	0.22745698	0.044128412
HMDB0000943	0.270722764	0.045432899
HMDB0000254	0.43302502	0.04654239
HMDB0000220	-0.207256382	0.047563697
NA	-0.192029528	0.054898268
HMDB0002142	0.21577	0.056344272
HMDB0000784	-0.295670818	0.059058275
HMDB0094692	0.208393874	0.062792075
HMDB0000159	0.190696526	0.071881265
HMDB0000448	-0.327964345	0.073973389
HMDB0003070	0.230208529	0.075351591
HMDB0000262	0.20656932	0.077953621
HMDB0000638	-0.208178192	0.079279578
HMDB0000687	0.184717538	0.08066356
HMDB0000719	0.159452671	0.087592179
HMDB0000696	0.191338859	0.094225561
HMDB0000247	-1.013775504	0.100168575
NA	-0.288499072	0.105205678
HMDB0000157	0.170246109	0.108933753
HMDB0000684	-0.349060539	0.110070081
HMDB0000929	-0.336943839	0.114903154
HMDB0000149	0.25067071	0.116419702
HMDB0000192	-0.240817155	0.118751843
HMDB0000779	0.541229259	0.125342052
HMDB0000725	0.810800109	0.130631782
HMDB0000124	-0.311709863	0.138816055
HMDB0000695	-0.21543181	0.142382123
HMDB0012275	-0.298932719	0.145907181
HMDB0000806	-0.126354716	0.152408467
HMDB0000169	-0.266642053	0.156550618
NA	0.189991771	0.1592688
HMDB0011564	0.156225142	0.161169378
HMDB0000671	0.19253182	0.170232153
HMDB0000935	0.170333101	0.172264575
HMDB0002212	-1.812035424	0.184040778
HMDB0002350	-1.049022285	0.193864474
HMDB0001401	-0.227126041	0.201725301
HMDB0000641	-0.198369384	0.206112641
HMDB0000258	-0.448700225	0.209459129
NA	-0.209360155	0.211915674
HMDB0000226	0.249763903	0.224036315
HMDB0000158	0.117537347	0.22595173
NA	-0.163492098	0.237908294
NA	-0.100644334	0.261276097
HMDB0003911	-0.179596171	0.268788057
HMDB0001492	0.221425414	0.274201373
HMDB0003355	0.685248295	0.286770074
HMDB0011533	-0.23889284	0.304778309
HMDB0094689	-0.107031561	0.317372193
NA	-0.090628653	0.323823535
HMDB0001414	0.184698885	0.330032371
HMDB0000044	0.643063458	0.33327226
NA	-0.07654489	0.352328601
HMDB0000134	0.09684086	0.361250699
HMDB0000210	-0.129979077	0.366057286
HMDB0000640	-0.16877771	0.36948541
NA	0.228439153	0.37885545
HMDB0000944	-0.106513606	0.38230308
HMDB0000067	-0.084534355	0.390626488
HMDB0000288	0.171677212	0.396491195
HMDB0000205	0.072128051	0.399951132
HMDB0000050	0.246673065	0.405494406
HMDB0000299	0.120409437	0.411862051
HMDB0000207	-0.096633237	0.418829752
HMDB0000673	0.120613475	0.430583649
HMDB0000008	-0.109106932	0.447496463
NA	-0.09583416	0.45371809
HMDB0003072	-0.362192381	0.457769051
HMDB0031444	-0.090948178	0.466463577
HMDB0000132	-0.094394699	0.471141775
HMDB0000510	0.225515399	0.483128876
HMDB0011537	0.089193452	0.494286495
NA	0.106718162	0.515107093
NA	0.120499967	0.527736334
HMDB0000056	-0.081472043	0.535769412
HMDB0000937	-0.065649679	0.539949183
HMDB0002994	-0.054408773	0.543898423
HMDB0000975	0.189363463	0.55251835
HMDB0000294	0.052125115	0.58452693
HMDB0004095	0.098300907	0.594978747
NA	0.064924663	0.608338587
HMDB0031658	0.043632416	0.61497164
NA	0.148481234	0.6215931
HMDB0003424	-0.054971749	0.637810756
HMDB0037138	0.139330386	0.6438136
HMDB0000127	-0.044546439	0.672488974
HMDB0000357	-0.122650042	0.679065143
HMDB0000133	-0.048105277	0.690494855
HMDB0062263	-0.030029659	0.694785594
HMDB0000250	-0.041297457	0.720539197
HMDB0000883	0.01939655	0.765924786
NA	-0.03126975	0.778714078
NA	-0.042541432	0.784226267
HMDB0000211	0.023029596	0.803432611
HMDB0000660	0.045623934	0.824893923
HMDB0000283	-0.034321029	0.830872396
HMDB0000195	0.024216747	0.842693738
NA	0.036994545	0.851132506
HMDB0002329	-0.017655617	0.876422832
HMDB0039721	0.020673211	0.907346528
HMDB0000208	-0.016819815	0.912947397
HMDB0001546	0.01012597	0.943991378
HMDB0000191	-0.004127796	0.958151282
HMDB0000115	-0.002013729	0.974237568
HMDB0001262	0.007200986	0.981451698
HMDB0000867	-0.001960394	0.994850173
YHR043C	-2.712763433	9.91E-88
YOR221C	-3.25470067	4.22E-79
YOR383C	1.463944011	3.66E-39
YGL009C	-0.90231179	3.67E-31
YLR303W	10.17321131	2.05E-30
YBR115C	10.89180159	6.73E-24
YHL047C	1.370205216	3.76E-19
YBR047W	1.059543538	1.61E-17
YHL040C	0.876216013	3.38E-13
YGL117W	0.715850233	5.01E-13
YLR346C	1.069970205	1.07E-12
YMR096W	1.31145882	3.05E-12
YJR005C-A	3.171162739	1.11E-10
YMR095C	1.17478882	3.19E-10
YML047C	1.848506924	1.41E-09
YBL043W	1.546499428	1.85E-09
YJR150C	3.200202409	1.85E-09
YKL071W	0.83890713	1.95E-09
YER011W	1.1375689	5.94E-09
YOL091W	1.183748862	9.45E-09
YLR304C	0.342178962	1.88E-08
YOR049C	0.603038575	9.58E-08
YOL119C	0.647491585	1.51E-07
YOR134W	0.75094547	1.53E-07
YHL035C	0.481022885	1.73E-07
YBL049W	0.58789387	3.23E-07
YBL005W	0.397607894	4.97E-07
YHR029C	0.559869399	6.43E-07
YOL132W	0.712965766	8.37E-07
YOR382W	0.97504891	8.37E-07
YLR168C	0.54625433	1.21E-06
YAL035W	-0.30388371	1.38E-06
YDR406W	0.655774297	1.88E-06
YPR002W	0.846035978	1.88E-06
YJR047C	0.986690371	3.23E-06
YER001W	-0.514363409	5.57E-06
YGL032C	1.791929996	7.10E-06
YLL061W	-0.823751488	8.15E-06
YEL065W	1.153300387	8.90E-06
YLR297W	0.571848326	8.90E-06
YBR023C	-0.365748782	1.02E-05
YOR153W	0.467308963	1.38E-05
YER175C	0.688768147	1.50E-05
YML058W-A	0.800756406	2.10E-05
YOL158C	0.67685385	2.29E-05
YOR381W	0.487190566	2.29E-05
YPL092W	0.405962843	2.29E-05
YBR012C	1.012056044	2.87E-05
YPR111W	0.431766067	2.87E-05
YJR109C	0.6174246	3.66E-05
YHL048W	0.388814432	3.83E-05
YHR206W	-0.406852839	3.90E-05
YLR019W	-0.433619688	3.93E-05
YML087C	0.570375043	3.94E-05
